"Ph1code","HabNmPLUS","HabBroad","HabClass","HabCertainty","HabCrtScr","equivLCM2007","TotCarb","AirPurScore","Noise","Rough","HabNmbr","Erosion","Naturalness","Food","equivCLC2000","CostWood","CostHeath","CostMire","CostGrass","CostPond","CostLWet","Ph1Colour","Ph1ColBestFit","MainSource"
"A1","Woodland,(unknown type)","Other","Woodland and scrub","Moderate",5,"none",202,80,90,0.55,2,0.005,7.125,1,"Mixed / mosaic / uncertain",1,35,50,20,20,20,"J5","J5","EEA/NFI"
"A11","Woodland,Broadleaved,(unknown type)","Woodland, broadleaved","Woodland and scrub","Moderate",5,"Broadleaved woodland",273,80,80,0.6,2,0.005,7.75,1,"Broadleaved forest",1,35,50,20,20,20,"J5","A1.1","OS MM"
"A11/A2","Woodland,Broadleaved,(unknown type)/ with scrub","Woodland, broadleaved","Woodland and scrub","Moderate",5,"Broadleaved woodland",273,80,80,0.6,2,0.005,7.75,1,"Broadleaved forest",1,35,50,20,20,20,"J5","A1.1","OS MM"
"A11_AW","Woodland,Broadleaved,[ancient wood]","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",273,80,80,0.6,2,0.005,8.75,1,"Broadleaved forest",1,35,50,20,20,20,"J5","A1.1","Combined"
"A111","Woodland,Broadleaved,Semi-natural","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",273,80,80,0.6,2,0.005,8.75,1,"Broadleaved forest",1,35,50,20,20,20,"A1.1.1","A1.1.1","BAP or Habitats"
"A111/A2","Woodland,Broadleaved,Semi-natural/ with scrub","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",273,80,80,0.6,2,0.005,8.75,1,"Broadleaved forest",1,35,50,20,20,20,"J5","A1.1.1","Wood survey or BAP or Habitats"
"A112","Woodland,Broadleaved,Plantation","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",273,80,80,0.6,2,0.005,7.75,1,"Broadleaved forest",1,35,50,20,20,20,"A1.1.2","A1.1.2","BAP or Habitats"
"A112/A2","Woodland,Broadleaved,Plantation/ with scrub","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",273,80,80,0.6,2,0.005,7.75,1,"Broadleaved forest",1,35,50,20,20,20,"J5","A1.1.2","Wood survey or BAP or Habitats"
"A11-O","Woodland,Broadleaved,Plantation,(orchard)","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",103.1,80,80,0.6,2,0.005,7.75,10,"complex cultivation patterns, fruit trees and berry plantations",20,50,50,10,20,20,"A1.1.2","A1.1.2","BAP or Habitats"
"A112o_T","Woodland,Broadleaved,Plantation,(orchard),Traditional","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",103.1,80,80,0.6,2,0.005,7.75,5,"complex cultivation patterns, fruit trees and berry plantations",20,50,50,10,20,20,"A1.1.2","A1.1.2","BAP or Habitats"
"A112o","Woodland,Broadleaved,Plantation,(orchard)","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",103.1,80,80,0.6,2,0.005,7.75,10,"complex cultivation patterns, fruit trees and berry plantations",20,50,50,10,20,20,"A1.1.2","A1.1.2","BAP or Habitats"
"A12","Woodland,Coniferous,(unknown type)","Woodland, coniferous","Woodland and scrub","Moderate",5,"Coniferous woodland",166.1,100,100,0.5,3,0.005,6.5,1,"Coniferous forest",20,20,40,20,40,40,"J5","A1.2","OS MM"
"A12/A2","Woodland,Coniferous,(unknown type)/ with scrub","Woodland, coniferous","Woodland and scrub","Moderate",5,"Coniferous woodland",166.1,100,100,0.5,3,0.005,6.5,1,"Coniferous forest",15,20,40,20,40,40,"J5","A1.2","OS MM"
"A12_AW","Woodland,Coniferous,[ancient wood]","Woodland, coniferous","Woodland and scrub","High",10,"Coniferous woodland",166.1,100,100,0.5,3,0.005,8.5,1,"Coniferous forest",20,20,40,20,40,40,"J5","A1.2","Combined"
"A121","Woodland,Coniferous,Semi-natural","Woodland, coniferous","Woodland and scrub","High",10,"Coniferous woodland",166.1,100,100,0.5,3,0.005,6.5,1,"Coniferous forest",20,20,40,20,40,40,"A1.2.1","A1.2.1","BAP or Habitats"
"A121/A2","Woodland,Coniferous,Semi-natural/ with scrub","Woodland, coniferous","Woodland and scrub","High",10,"Coniferous woodland",166.1,100,100,0.5,3,0.005,6.5,1,"Coniferous forest",15,20,40,20,40,40,"J5","A1.2.1","Wood survey or BAP or Habitats"
"A122","Woodland,Coniferous,Plantation","Woodland, coniferous","Woodland and scrub","High",10,"Coniferous woodland",166.1,100,100,0.5,3,0.005,6.5,1,"Coniferous forest",20,20,40,20,40,40,"A1.2.2","A1.2.2","BAP or Habitats"
"A122/A2","Woodland,Coniferous,Plantation/ with scrub","Woodland, coniferous","Woodland and scrub","High",10,"Coniferous woodland",166.1,100,100,0.5,3,0.005,6.5,1,"Coniferous forest",15,20,40,20,40,40,"J5","A1.2.2","Wood survey or BAP or Habitats"
"A13","Woodland,Mixed,(unknown type)","Woodland, mixed","Woodland and scrub","Moderate",5,"Mixed / mosaic / uncertain",202,90,90,0.55,4,0.005,7.125,1,"Mixed forest",1,35,50,20,30,30,"J5","A1.3","OS MM"
"A13/A2","Woodland,Mixed,(unknown type)/ with scrub","Woodland, mixed","Woodland and scrub","Moderate",5,"Mixed / mosaic / uncertain",202,90,90,0.55,4,0.005,7.125,1,"Mixed forest",1,30,50,20,25,25,"J5","A1.3","OS MM"
"A131","Woodland,Mixed,Semi-natural","Woodland, mixed","Woodland and scrub","High",10,"Mixed / mosaic / uncertain",202,90,90,0.55,4,0.005,7.125,1,"Mixed forest",1,35,50,20,30,30,"A1.3.1","A1.3.1","BAP or Habitats"
"A131/A2","Woodland,Mixed,Semi-natural/ with scrub","Woodland, mixed","Woodland and scrub","High",10,"Mixed / mosaic / uncertain",202,90,90,0.55,4,0.005,7.125,1,"Mixed forest",1,30,50,20,25,25,"J5","A1.3.1","Wood survey or BAP or Habitats"
"A132","Woodland,Mixed,Plantation","Woodland, mixed","Woodland and scrub","High",10,"Mixed / mosaic / uncertain",202,90,90,0.55,4,0.005,7.125,1,"Mixed forest",1,35,50,20,30,30,"A1.3.2","A1.3.2","BAP or Habitats"
"A132/A2","Woodland,Mixed,Plantation/ with scrub","Woodland, mixed","Woodland and scrub","High",10,"Mixed / mosaic / uncertain",202,90,90,0.55,4,0.005,7.125,1,"Mixed forest",1,30,50,20,25,25,"J5","A1.3.2","Wood survey or BAP or Habitats"
"A2","Scrub,(unknown),","Scrub","Woodland and scrub","Moderate",5,"Mixed / mosaic / uncertain",103.1,50,40,0.4,5,0.005,7.125,NA,"Transitional woodland-scrub",1,10,30,20,20,20,"J5","A2","OS MM"
"A21","Scrub,Dense/continuous,","Scrub","Woodland and scrub","High",10,"Mixed / mosaic / uncertain",103.1,50,40,0.4,5,0.005,7.125,NA,"Transitional woodland-scrub",1,10,30,20,20,20,"A2.1","A2.1","BAP or Habitats"
"A22","Scrub,Scattered,","Scrub","Woodland and scrub","High",10,"Mixed / mosaic / uncertain",103.1,50,40,0.4,5,0.005,7.125,NA,"Transitional woodland-scrub",1,10,30,20,20,20,"A2.2.","A2.2.","BAP or Habitats"
"A2m","Scrub,,(mountain)","Scrub","Woodland and scrub","Moderate",5,"Mixed / mosaic / uncertain",103.1,50,40,0.4,5,0.005,7.125,NA,"Transitional woodland-scrub",1,10,30,20,20,20,"A2.1","A2.1","BAP or Habitats"
"A3","Parkland/scattered trees,(unknown),","Trees / Parkland","Woodland and scrub","Moderate",5,"Mixed / mosaic / uncertain",103.1,50,40,0.4,6,0.005,7.125,NA,"Transitional woodland-scrub",1,10,30,20,20,20,"J5","A3","OS MM"
"A31","Parkland/scattered trees,Broadleaved,","Trees / Parkland","Woodland and scrub","Moderate",5,"Mixed / mosaic / uncertain",103.1,50,40,0.4,6,0.005,7.125,NA,"Transitional woodland-scrub",1,10,30,20,20,20,"A3.1","A3.1","BAP or Habitats"
"A31/A2","Parkland/scattered trees,Broadleaved,/ with scrub","Scrub","Woodland and scrub","Moderate",5,"Mixed / mosaic / uncertain",103.1,50,40,0.4,5,0.005,7.125,NA,"Transitional woodland-scrub",1,10,30,20,20,20,"A3.1","A3.1","OS MM"
"A32","Parkland/scattered trees,Coniferous,","Trees / Parkland","Woodland and scrub","Moderate",5,"Mixed / mosaic / uncertain",103.1,50,40,0.4,6,0.005,7.125,NA,"Transitional woodland-scrub",1,10,30,20,20,20,"A3.2","A3.2","OS MM"
"A32/A2","Parkland/scattered trees,Coniferous,/ with scrub","Trees / Parkland","Woodland and scrub","Moderate",5,"Mixed / mosaic / uncertain",103.1,50,40,0.4,6,0.005,7.125,NA,"Transitional woodland-scrub",1,10,30,20,20,20,"A3.2","A3.2","OS MM"
"A33","Parkland/scattered trees,Mixed,","Trees / Parkland","Woodland and scrub","Moderate",5,"Mixed / mosaic / uncertain",103.1,50,40,0.4,6,0.005,7.125,NA,"Transitional woodland-scrub",1,10,30,20,20,20,"A3.3","A3.3","OS MM"
"A33/A2","Parkland/scattered trees,Mixed,/ with scrub","Trees / Parkland","Woodland and scrub","Moderate",5,"Mixed / mosaic / uncertain",103.1,50,40,0.4,6,0.005,7.125,NA,"Transitional woodland-scrub",1,10,30,20,20,20,"A3.3","A3.3","OS MM"
"A3p","Parkland/scattered trees,,(parkland)","Trees / Parkland","Woodland and scrub","Moderate",5,"Mixed / mosaic / uncertain",103.1,50,40,0.4,6,0.005,7.125,NA,"Transitional woodland-scrub",1,10,30,20,20,20,"A3.1","A3.1","BAP or Habitats"
"A41","Recently felled,Broadleaved,","Felled woodland","Woodland and scrub","High",10,"Arable and horticulture",162,10,0,0.4,0,0.005,4.5,NA,"Broadleaved forest (soil only)",5,20,40,10,20,20,"A4.1","A4.1","BAP or Habitats"
"A42","Recently felled,Coniferous,","Felled woodland","Woodland and scrub","High",10,"Arable and horticulture",107,10,0,0.4,0,0.005,4.5,NA,"Coniferous forest (soil only)",5,20,40,10,20,20,"A4.2","A4.2","BAP or Habitats"
"A43","Recently felled,Mixed,","Felled woodland","Woodland and scrub","High",10,"Arable and horticulture",124,10,0,0.4,0,0.005,4.5,NA,"mixed forest (soil only)",5,20,40,10,20,20,"A4.3","A4.3","BAP or Habitats"
"Au_SN","Woods/Trees/Scrub,,with semi-natural habitats","Mixed habitats","Mixed / other / uncertain","High",10,"Mixed / mosaic / uncertain",166.73,10,10,0.35,1,0.005,7.125,NA,"Mixed / mosaic / uncertain",15,15,40,10,10,10,"J5","A3","OS MM"
"B/C31","Grassland,(unknown),(unknown type)/ with Tall ruderal (rail verge)","Grassland, unknown","Grassland and marsh","Low",1,"Suburban/ rural developed",99.62,10,10,0.3,0,0.02,3.3,NA,"Green urban areas, sport and leisure facilities",15,30,50,15,50,50,"J5","C3.1","OS MM"
"B11","Grassland,Acid,Unimproved","Grassland, semi-natural","Grassland and marsh","High",10,"Acid grass",124.1,10,10,0.3,7,0.01,7.5,NA,"Pastures",30,10,20,1,20,20,"B1.1","B1.1","BAP or Habitats"
"B11a","Grassland,Acid,Unimproved","Grassland, semi-natural","Grassland and marsh","Moderate",5,"Acid grass",124.1,10,10,0.3,7,0.01,7.5,NA,"Pastures",30,10,20,1,20,20,"B1.1","B1.1","LCM2007"
"B11m","Grassland,Acid,Unimproved(moorland)","Grassland, semi-natural","Grassland and marsh","High",10,"Acid grass",124.1,10,10,0.3,7,0.01,7.5,NA,"Pastures",30,10,20,1,20,20,"B1.1","B1.1","BAP or Habitats"
"B12","Grassland,Acid,Semi-improved","Grassland, semi-natural","Grassland and marsh","High",10,"Neutral grass or calcareous grass or Acid grass",124.1,10,10,0.3,7,0.01,6.5,6,"Pastures",30,10,20,2,20,20,"B1.2","B1.2","BAP or Habitats"
"B21","Grassland,Neutral,Unimproved","Grassland, semi-natural","Grassland and marsh","High",10,"Neutral grass or calcareous grass or Acid grass",124.1,10,10,0.3,7,0.01,6.5,NA,"Pastures",30,10,20,1,20,20,"B2.1","B2.1","BAP or Habitats"
"B22","Grassland,Neutral,Semi-improved","Grassland, semi-natural","Grassland and marsh","High",10,"Neutral grass or calcareous grass or Acid grass",124.1,10,10,0.3,7,0.01,6.5,6,"Pastures",30,10,20,2,20,20,"B2.2","B2.2","BAP or Habitats"
"B31","Grassland,Calcareous,Unimproved","Grassland, semi-natural","Grassland and marsh","High",10,"Neutral grass or calcareous grass or Acid grass",124.1,10,10,0.3,7,0.01,6.5,NA,"Pastures",30,10,20,1,20,20,"B3.1","B3.1","BAP or Habitats"
"B32","Grassland,Calcareous,Semi-improved","Grassland, semi-natural","Grassland and marsh","High",10,"Neutral grass or calcareous grass or Acid grass",124.1,10,10,0.3,7,0.01,6.5,6,"Pastures",30,10,20,2,20,20,"B3.2","B3.2","BAP or Habitats"
"B4","Grassland,Improved,","Grassland, improved","Grassland and marsh","High",10,"Improved grassland",124.1,10,10,0.3,8,0.02,5.5,10,"Pastures",30,40,50,10,30,30,"B4","B4","BAP / Hab or LCM"
"B4/Bu","Pastures","Grassland, improved","Grassland and marsh","Low",1,"Improved grassland",124.1,10,10,0.3,8,0.02,5.5,10,"Pastures",30,40,50,10,30,30,"B4","B4","EEA"
"B4/J11","Grassland,Improved,/arable (probable)","Uncertain agriculture (improved grass or arable)","Mixed / other / uncertain","Low",1,"Mixed / mosaic / uncertain",100.53,10,10,0.3,0,0.02,5,10,"Mixed / mosaic / uncertain",50,50,50,50,50,50,"J5","B4/J11","OS MM"
"B4/J11Urb","Grassland,Improved,/arable (probable)[urban]","Cultivated / disturbed land","Cultivated / disturbed land","Moderate",5,"Improved grassland",99.62,10,10,0.35,18,0.02,1.8,10,"Green urban areas, sport and leisure facilities",50,50,50,50,50,50,"J1.2","J1.2","OS MM"
"B4f","Grassland,Improved,(floodplain/grazing marsh)","Grassland, improved","Grassland and marsh","High",10,"Improved grassland",124.1,10,10,0.3,8,0.02,5.5,10,"Pastures",30,40,50,10,15,15,"B4","B4","BAP or Habitats"
"B4Urb","Grassland,Improved,[urban]","Grassland, improved","Grassland and marsh","Moderate",5,"Built up areas / cont urban",124.1,10,10,0.3,8,0.02,1.8,10,"Pastures",30,40,50,10,50,50,"B4","B4","OS MM"
"B5","Grassland,Marshy,","Grassland, marshy","Grassland and marsh","High",10,"Fen, marsh and swamp",151.44,10,10,0.5,9,0.01,8.5,4,"Inland and salt marshes",20,35,1,15,1,1,"B5","B5","BAP or Habitats"
"B5/B(u)","Grassland,Marshy,/ or Grassland (unknown)","Grassland, marshy","Grassland and marsh","Low",1,"Fen, marsh and swamp",151.44,10,10,0.3,9,0.01,7.5,4,"Inland and salt marshes",25,20,10,10,10,10,"B5","B5","OS MM"
"B5/E3/F","Grassland,Marshy,/Fen/Swamp/Saltmarsh","Grassland, marshy","Grassland and marsh","Moderate",5,"Fen, marsh and swamp",151.44,10,10,0.5,9,0.01,8.5,4,"Inland and salt marshes",20,35,1,15,1,1,"B5","B5","LCM2007"
"B5/E3/F/H2","Grassland,Marshy,/Fen/Swamp/Saltmarsh","Grassland, marshy","Grassland and marsh","Moderate",5,"Fen, marsh and swamp",151.44,10,10,0.5,9,0.01,8.5,4,"Inland and salt marshes",20,35,1,15,1,1,"B5","B5","OS MM"
"B5/E3/F/H2_Bu","Grassland,Marshy,/Fen/Swamp/Saltmarsh and Rough grassland","Grassland, marshy","Grassland and marsh","Moderate",5,"Mixed / mosaic / uncertain",137.77,10,10,0.3,9,0.01,7.5,4,"Mixed / mosaic / uncertain",25,20,10,5,10,5,"B5","B5","OS MM"
"B6","Grassland,Poor,Semi-improved","Grassland, semi-natural","Grassland and marsh","High",10,"Neutral grass or calcareous grass or Acid grass",124.1,10,10,0.3,7,0.01,6.5,NA,"Pastures",30,10,30,2,30,30,"B6","B6","BAP or Habitats"
"B6/J3","Grassland,Poor,Semi-improved/Ephemeral/short perennial","Uncertain","Grassland and marsh","Low",1,"Suburban/ rural developed",99.62,10,10,0.3,0,0.02,3.3,NA,"Green urban areas, sport and leisure facilities",40,30,40,20,30,30,"B6","B6","OS MM"
"B6/J3Urb","Grassland,Poor,Semi-improved/Ephemeral/short perennial[urban]","Uncertain","Grassland and marsh","Moderate",5,"Built up areas / cont urban",99.62,10,10,0.3,0,0.02,1.8,NA,"Green urban areas, sport and leisure facilities",40,30,40,20,40,40,"B6","B6","OS MM"
"Bu","Grassland, rough (probable semi-improved)","Grassland, semi-natural","Grassland and marsh","Moderate",5,"Neutral grass or calcareous grass or Acid grass",124.1,10,10,0.3,0,0.02,5.5,6,"Pastures",30,10,40,10,40,40,"B6","Bu.1 / Bu.2","OS MM"
"Bu/A11(A2)","Grassland,(unknown),/ with broadleaved trees or scrub","Grassland, semi-natural","Grassland and marsh","Moderate",5,"Mixed / mosaic / uncertain",113.6,10,10,0.3,7,0.01,7.125,6,"Mixed / mosaic / uncertain",5,10,30,5,20,20,"J5","B / A","OS MM"
"Bu/A112","Grassland,(unknown),/ with broadleaved woodland","Grassland, semi-natural","Grassland and marsh","Moderate",5,"Mixed / mosaic / uncertain",198.55,10,10,0.3,7,0.01,7.125,6,"Mixed / mosaic / uncertain",25,10,25,5,20,20,"J5","B / A","OS MM"
"Bu/A12","Grassland,(unknown),/ with coniferous trees","Grassland, semi-natural","Grassland and marsh","Moderate",5,"Mixed / mosaic / uncertain",145.1,10,10,0.3,7,0.01,7.125,6,"Mixed / mosaic / uncertain",25,10,25,5,20,20,"J5","B / A","OS MM"
"Bu/A122","Grassland,(unknown),/ with coniferous woodland","Grassland, semi-natural","Grassland and marsh","Moderate",5,"Mixed / mosaic / uncertain",145.1,10,10,0.3,7,0.01,6.5,6,"Mixed / mosaic / uncertain",25,10,25,5,20,20,"J5","B / A","OS MM"
"Bu_A1/A2","Grassland,(unknown),/ with woodland or scrub","Grassland, semi-natural","Grassland and marsh","Moderate",5,"Mixed / mosaic / uncertain",113.6,10,10,0.3,7,0.01,7.125,6,"Mixed / mosaic / uncertain",5,10,30,5,20,20,"J5","B / A","OS MM"
"Bu_A11","Grassland,(unknown),/ with broadleaved trees","Grassland, semi-natural","Grassland and marsh","Moderate",5,"Mixed / mosaic / uncertain",113.6,10,10,0.3,7,0.01,7.125,6,"Mixed / mosaic / uncertain",5,10,30,5,20,20,"J5","B / A","OS MM"
"Bu_A11/A2","Grassland,(unknown),/ with broadleaved trees or scrub","Grassland, semi-natural","Grassland and marsh","Moderate",5,"Mixed / mosaic / uncertain",113.6,10,10,0.3,7,0.01,7.125,6,"Mixed / mosaic / uncertain",5,10,30,5,20,20,"J5","B / A","OS MM"
