"Ph1code","HabNmPLUS","HabBroad","HabClass","HabCertainty","HabCrtScr","equivLCM2007","TotCarb","AirPurScore","Noise","Rough","HabNmbr","Erosion","Naturalness","Food","equivCLC2000","CostWood","CostHeath","CostMire","CostGrass","CostPond","CostLWet","Ph1Colour","Ph1ColBestFit","MainSource"
"H3","Shingle above high tide,,","Shingle","Coastal","High",10,"Littoral sediment",124.1,0,0,0.5,0,0,9,NA,"none",50,50,50,40,30,30,"H3","H3","Various "
"H3/H5","Shingle above high tide,,/ Strandline vegetation","Shingle","Coastal","Moderate",5,"Littoral sediment",124.1,0,0,0.5,0,0,9,NA,"none",50,50,50,40,30,30,"H3","H3","Various "
"H3/H6u","Shingle above high tide,,or Sand dune","Shingle","Coastal","Moderate",5,"Littoral sediment",124.1,0,0,0.5,0,0,9,NA,"none",50,50,50,40,30,30,"H3","H3","Various "
"H3/H5/H6","Sand dunes or vegetated shingle","Shingle","Coastal","Moderate",5,"Littoral sediment",124.1,0,0,0.5,0,0,9,NA,"none",50,50,50,40,30,30,"H3","H3","Various "
"H4","Boulders/rocks above high tide,,","Boulders","Coastal","High",10,"Littoral sediment",0,0,0,0.5,0,0,9,NA,"none",50,50,50,40,30,30,"H4","H4","BAP or Habitats"
"H64","Sand dune,Dune slack,","Sand dune","Coastal","High",10,"Littoral sediment",0.01,0,0,0.5,16,0,9,NA,"none",50,50,10,40,30,30,"H6.4","H6.4","BAP or Habitats"
"H65","Sand dune,Dune grassland,","Sand dune","Coastal","High",10,"Littoral sediment",6.01,10,10,0.5,16,0,9,NA,"none",50,50,10,40,30,30,"H6.5","H6.5","BAP or Habitats"
"H66","Sand dune,Dune heath,","Sand dune","Coastal","High",10,"Littoral sediment",6.01,10,10,0.5,16,0,9,NA,"none",50,50,10,40,30,30,"H6.6","H6.6","BAP or Habitats"
"H67","Sand dune,Dune scrub,","Sand dune","Coastal","High",10,"Littoral sediment",6.01,10,40,0.5,16,0,9,NA,"none",50,50,10,40,30,30,"H6.7","H6.7","BAP or Habitats"
"H68","Sand dune,Open dune,","Sand dune","Coastal","High",10,"Littoral sediment",0.01,10,0,0.5,16,0,9,NA,"none",50,50,10,40,30,30,"H6.8","H6.8","BAP or Habitats"
"H6u","Sand dune,(unknown),","Sand dune","Coastal","High",10,"Littoral sediment",0.01,0,0,0.5,16,0,9,NA,"none",50,50,10,40,30,30,"J5","H6.8","BAP or Habitats"
"H8","Maritime cliff and slope,(unknown),","Maritime cliff and slope","Coastal","High",10,"Inland rock",0,0,0,0.5,17,0,6.5,NA,"none",50,50,50,40,50,50,"J5","H8.1","BAP or Habitats"
"H81","Maritime cliff and slope,Hard cliff,","Maritime cliff and slope","Coastal","High",10,"Inland rock",0,0,0,0.5,17,0,6.5,NA,"none",50,50,50,40,50,50,"H8.1","H8.1","BAP or Habitats"
"H82","Maritime cliff and slope,Soft cliff,","Maritime cliff and slope","Coastal","High",10,"Inland rock",0,0,0,0.5,17,0,6.5,NA,"none",50,50,50,40,50,50,"H8.2","H8.2","BAP or Habitats"
"H84","Maritime cliff and slope,Coastal grassland,","Maritime cliff and slope","Coastal","High",10,"Neutral grass or calcareous grass or Acid grass",124.1,10,10,0.5,17,0.01,6.5,NA,"Natural grasslands",20,20,50,1,30,30,"H8.4","H8.4","BAP or Habitats"
"H85","Maritime cliff and slope,Coastal heathland,","Maritime cliff and slope","Coastal","High",10,"Dwarf shrub heath",110.11,10,10,0.5,17,0.01,8,NA,"Moors and heathland",20,1,50,20,30,30,"H8.5","H8.5","BAP or Habitats"
"I/J","Dump sites","Artificial exposure / waste","Rock, exposure and waste","low",1,"Built up areas / cont urban",0,0,0,0,0,0.1,3.15,NA,"none",50,50,50,50,50,50,"I2.1","I2.1","EEA"
"I1","Natural rock,(unknown),","Natural rock","Rock, exposure and waste","High",10,"Inland rock",0,0,0,0,0,0.1,6.5,NA,"none",50,50,50,50,50,50,"J5","I1","OS MM"
"Ib","Boulders","Natural rock","Rock, exposure and waste","High",11,"Inland rock",0,0,0,0,0,0.1,6.5,NA,"none",NA,NA,NA,NA,NA,NA,"","",""
"I11","Natural rock,Inland cliff,(unknown type)","Natural rock","Rock, exposure and waste","High",10,"Inland rock",0,0,0,0,0,0.1,6.5,NA,"none",50,50,50,50,50,50,"J5","I1.1","Various "
"I111","Natural rock,Inland cliff,Acid/neutral","Natural rock","Rock, exposure and waste","High",10,"Inland rock",0,0,0,0,0,0.1,6.5,NA,"none",50,50,50,50,50,50,"I1.1.1","I1.1.1","BAP or Habitats"
"I112","Natural rock,Inland cliff,Basic","Natural rock","Rock, exposure and waste","High",10,"Inland rock",0,0,0,0,0,0.1,6.5,NA,"none",50,50,50,50,50,50,"I1.1.2","I1.1.2","BAP or Habitats"
"I12","Natural rock,Scree,(unknown type)","Natural rock","Rock, exposure and waste","High",10,"Inland rock",0,0,0,0,0,0.1,6.5,NA,"none",50,50,50,50,50,50,"J5","I1.2","BAP or Habitats"
"I121","Natural rock,Scree,Acid/neutral","Natural rock","Rock, exposure and waste","High",10,"Inland rock",0,0,0,0,0,0.1,6.5,NA,"none",50,50,50,50,50,50,"I1.2.1","I1.2.1","BAP or Habitats"
"I122","Natural rock,Scree,Basic","Natural rock","Rock, exposure and waste","High",10,"Inland rock",0,0,0,0,0,0.1,6.5,NA,"none",50,50,50,50,50,50,"I1.2.2","I1.2.2","BAP or Habitats"
"I13","Natural rock,Limestone pavement,","Natural rock","Rock, exposure and waste","High",10,"Inland rock",0,0,0,0,0,0.1,6.5,NA,"none",10,50,50,10,50,50,"I1.3","I1.3","BAP or Habitats"
"I14b","Natural rock,Other exposure,boulders","Natural rock","Rock, exposure and waste","High",10,"Inland rock",0,0,0,0,0,0.1,6.5,NA,"none",50,50,50,50,50,50,"I1.4.1","I1.4.1","Various "
"I14u","Natural rock,Other exposure,(unknown type)","Natural rock","Rock, exposure and waste","High",10,"Inland rock",0,0,0,0,0,0.1,6.5,NA,"none",50,50,50,50,50,50,"J5","I1.4","Various "
"I21","Artificial rock/exposure/waste,Quarry,","Artificial exposure / waste","Rock, exposure and waste","High",10,"Built up areas / cont urban",0,0,0,0,0,0.1,1.8,NA,"none",50,50,50,50,50,50,"I2.1","I2.1","BAP or Habitats"
"I22","Artificial rock/exposure/waste,Spoil,","Artificial exposure / waste","Rock, exposure and waste","High",10,"Built up areas / cont urban",0,0,0,0,0,0.1,1.8,NA,"none",50,50,50,50,50,50,"I2.2","I2.2","BAP or Habitats"
"I23","Artificial rock/exposure/waste,Mine,","Artificial exposure / waste","Rock, exposure and waste","High",10,"Built up areas / cont urban",0,0,0,0,0,0.1,1.8,NA,"none",50,50,50,50,50,50,"I2.3","I2.3","BAP or Habitats"
"I24","Artificial rock/exposure/waste,Refuse-tip,","Artificial exposure / waste","Rock, exposure and waste","High",10,"Built up areas / cont urban",0,0,0,0,0,0.1,1.8,NA,"none",50,50,50,50,50,50,"I2.4","I2.4","BAP or Habitats"
"I2u","Artificial rock/exposure/waste,(unknown),","Artificial exposure / waste","Rock, exposure and waste","low",1,"Built up areas / cont urban",0,0,0,0,0,0.1,1.8,NA,"none",50,50,50,50,50,50,"J5","I2","Various "
"J1M","Grassland,Improved,(floodplain/grazing marsh)","Grassland, improved","Grassland and marsh","High",10,"Improved grassland",124.1,10,10,0.3,8,0.02,5.5,4,"Pastures",30,40,50,10,15,15,"B4","B4","BAP or Habitats"
"J1P","Pastures","Grassland, improved","Grassland and marsh","Low",1,"Improved grassland",124.1,10,10,0.3,8,0.02,5.5,10,"Pastures",30,40,50,10,30,30,"B4","B4","EEA"
"J11","Cultivated/disturbed land,Arable,","Cultivated / disturbed land","Cultivated / disturbed land","High",10,"Arable and horticulture",76.96,10,10,0.35,18,0.1,4.5,10,"non-irrigated arable land",50,50,50,50,50,50,"J1.1","J1.1","Various "
"J11a","Cultivated/disturbed land,Arable,","Cultivated / disturbed land","Cultivated / disturbed land","High",10,"Arable and horticulture",76.96,10,10,0.35,18,0.1,4.5,10,"non-irrigated arable land",50,50,50,50,50,50,"J1.1","J1.1","Various "
"J11/Bu","Land principally occupied by agriculture","Cultivated / disturbed land","Cultivated / disturbed land","Moderate",5,"Arable and horticulture",76.96,10,10,0.35,18,0.1,4.5,10,"non-irrigated arable land",50,50,50,50,50,50,"J1.1","J1.1","EEA"
"J11t","Cultivated/disturbed land,Arable,(Allotments)","Cultivated / disturbed land","Cultivated / disturbed land","High",10,"Arable and horticulture",76.96,10,10,0.35,18,0.1,4.5,7,"non-irrigated arable land",50,50,50,50,50,50,"J1.1","J1.1","Various "
"J12","Cultivated/disturbed land,Amenity grassland,","Cultivated / disturbed land","Cultivated / disturbed land","High",10,"Improved grassland",99.62,10,10,0.35,18,0.02,5.5,NA,"Green urban areas, sport and leisure facilities",50,50,50,50,50,50,"J1.2","J1.2","Various "
"J12Urb","Cultivated/disturbed land,Amenity grassland,[urban]","Cultivated / disturbed land","Cultivated / disturbed land","High",10,"Suburban/ rural developed",99.62,10,10,0.35,18,0.02,3.3,NA,"Green urban areas, sport and leisure facilities",50,50,50,50,50,50,"J1.2","J1.2","Various "
"J12v","Cultivated/disturbed land,Amenity grassland,(road verge)","Cultivated / disturbed land","Cultivated / disturbed land","High",10,"Suburban/ rural developed",99.62,10,10,0.35,18,0.02,3.3,NA,"Green urban areas, sport and leisure facilities",50,50,50,50,50,50,"J1.2","J1.2","Various "
"J13","Cultivated/disturbed land,Ephemeral/short perennial,","Cultivated / disturbed land","Cultivated / disturbed land","High",10,"Suburban/ rural developed",76.96,10,10,0.35,18,0.1,3.3,NA,"non-irrigated arable land",40,30,50,20,40,40,"J1.3","J1.3","Various "
"J13Urb","Cultivated/disturbed land,Ephemeral/short perennial,[urban]","Cultivated / disturbed land","Cultivated / disturbed land","High",10,"Built up areas / cont urban",76.96,10,10,0.35,18,0.1,1.8,NA,"non-irrigated arable land",40,30,50,20,40,40,"J1.3","J1.3","Various "
"J14","Cultivated/disturbed land, Introduced shrub","Scrub","Woodland and scrub","High",10,"Mixed / mosaic / uncertain",103.1,10,40,0.4,5,0.005,3.3,NA,"Transitional woodland-scrub",1,10,50,20,50,50,"J1.4","J5","BAP or Habitats"
"J1u","Cultivated/disturbed land,(unknown),","Cultivated / disturbed land","Cultivated / disturbed land","low",1,"Arable and horticulture",76.96,10,10,0.35,18,0.1,4.5,NA,"non-irrigated arable land",50,50,50,50,50,50,"J1.1","J1.1","Various "
"J1uUrb","Cultivated/disturbed land,(unknown),[urban]","Cultivated / disturbed land","Cultivated / disturbed land","Moderate",5,"Built up areas / cont urban",76.96,10,10,0.35,18,0.1,1.8,NA,"non-irrigated arable land",50,50,50,50,50,50,"J1.2","J1.2","Various "
"J21","Boundaries,Intact hedge,","Boundaries","Mixed / other / uncertain","High",10,"none",132,10,10,0.4,19,0,4,NA,"none",1,1,1,1,1,1,"J2.1.2","J2.1.2","BAP or Habitats"
"J22","Boundaries,Defunct hedge,","Boundaries","Mixed / other / uncertain","High",10,"none",92,10,5,0.4,19,0,3.5,NA,"none",1,1,1,1,1,1,"J2.2.2","J2.2.2","BAP or Habitats"
"J23","Boundaries,Hedge and trees,","Boundaries","Mixed / other / uncertain","High",10,"none",145,10,10,0.4,19,0,4.5,NA,"none",1,1,1,1,1,1,"J2.3.2","J2.3.2","BAP or Habitats"
"J24","Boundaries,Fence,","Boundaries","Mixed / other / uncertain","High",10,"none",0,0,20,0.4,19,0,3,NA,"none",1,1,1,1,1,1,"J2.4","J2.4","BAP or Habitats"
"J25","Boundaries,Wall,","Boundaries","Mixed / other / uncertain","High",10,"none",0,10,5,0.4,19,0,3,NA,"none",1,1,1,1,1,1,"J2.5","J2.5","BAP or Habitats"
"J26","Boundaries,Dry ditch,","Boundaries","Mixed / other / uncertain","High",10,"none",0,10,0,0.4,19,0,3,NA,"none",1,1,1,1,1,1,"J2.6","J2.6","BAP or Habitats"
"J28","Boundaries,Earth bank,","Boundaries","Mixed / other / uncertain","High",10,"none",0,10,0,0.4,19,0,3,NA,"none",1,1,1,1,1,1,"J2.8","J2.8","BAP or Habitats"
"J34","Built-up area,Caravan site,","Built up areas","Urban","High",10,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J3.4","J3.4","BAP or Habitats"
"J35","Built-up area,Sea wall,","Built up areas","Urban","High",10,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J3.5","J3.5","BAP or Habitats"
"J360","Built-up area,Buildings,(domestic)","Built up areas","Urban","High",10,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J3.6","J3.6","OS MM"
"J361","Built-up area,Buildings,Business or Industry","Built up areas","Urban","Moderate",5,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J3.6","J3.6","OS MM"
"J362","Built-up area,Buildings,Shed/Garage/Farm building","Built up areas","Urban","Moderate",5,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J3.6","J3.6","OS MM"
"J363","Built-up area,Buildings,Structure","Built up areas","Urban","High",10,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J3.6","J3.6","OS MM"
"J364","Built-up area,Buildings,Glasshouse","Built up areas","Urban","High",10,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,7,"none",50,50,50,50,50,50,"J3.6","J3.6","OS MM"
"J36x","Built-up area,Buildings,Glasshouse","Built up areas","Urban","High",10,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,7,"none",50,50,50,50,50,50,"J3.6","J3.6","OS MM"
"J36","Built-up area,Buildings,(unknown type)","Built up areas","Urban","Moderate",5,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J3.6","J3.6","OS MM"
"J36u","Built-up area,Buildings,(unknown type)","Built up areas","Urban","Moderate",5,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J3.6","J3.6","OS MM"
"J3x1","Built-up area,Sealed surface,","Built up areas","Urban","High",10,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J5","J3.7","OS MM"
"J37","Built-up area,Sealed surface,","Built up areas","Urban","High",10,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J5","J3.7","OS MM"
"J37/J12/J55","Discontinuous urban fabric","Built up areas","Urban","Moderate",5,"Suburban/ rural developed",0,0,0,0,0,0.03,3.53,NA,"none",50,50,50,50,50,50,"J5","J3.7","EEA"
"J3u","Built-up area,(unknown),","Built up areas","Urban","Moderate",5,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J5","J5","OS MM"
"J4","Bare ground,,","Other","Mixed / other / uncertain","High",10,"Built up areas / cont urban",0,10,0,0,10,0.03,1.8,NA,"none",50,50,50,50,50,50,"J4","J4","Various "
"J4u","Bare ground,(unknown type),","Built up areas","Urban","High",10,"Built up areas / cont urban",0,10,0,0,0,0.1,1.8,NA,"none",50,50,50,50,50,50,"J4","J4","Various "
"J5","Other habitat,,","Other","Mixed / other / uncertain","Moderate",5,"none",0,0,0,0,10,0.03,0,NA,"none",40,40,40,40,40,40,"J5","J5","Various "
"J511","Other habitat,Road,Surfaced","Roads","Infrastructure","High",10,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J5","J5.1.1","OS MM"
"J512","Other habitat,Road,Unsurfaced","Roads","Infrastructure","High",10,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",20,20,50,20,20,20,"J5","J5.1.2","OS MM"
"J52","Other habitat,Roadside/Pavement,","Pavement","Infrastructure","High",10,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J5","J5.2","OS MM"
"J53","Other habitat,Railway,","Railway","Infrastructure","High",10,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",50,50,50,50,50,50,"J5","J5.3","OS MM"
"J54","Other habitat,Path, sealed,","Path","Infrastructure","High",10,"Built up areas / cont urban",0,0,0,0,0,0.03,1.8,NA,"none",40,40,40,40,40,40,"J5","J5.4","OS MM"
"J55","Other habitat,Probable garden/brownfield or park,","Gardens / Parks / Brownfield","Gardens / Parks / Brownfield","Moderate",5,"Suburban/ rural developed",99.62,10,10,0.3,20,0.02,3.3,NA,"Green urban areas, sport and leisure facilities",15,50,50,20,10,40,"J5","J5.5","OS MM"
"J55Urb","Other habitat,Probable garden/brownfield or park,[urban]","Gardens / Parks / Brownfield","Gardens / Parks / Brownfield","High",10,"Built up areas / cont urban",99.62,10,10,0.3,20,0.02,1.8,NA,"Green urban areas, sport and leisure facilities",15,50,50,20,10,40,"J5","J5.5","OS MM"
"J56","Other habitat,Private garden,","Garden","Gardens / Parks / Brownfield","High",10,"Suburban/ rural developed",99.62,10,10,0.3,21,0.02,3.3,1,"Green urban areas, sport and leisure facilities",15,50,50,10,10,40,"J5","J5.6","OS MM"
"J56Urb","Other habitat,Private garden,[urban]","Garden","Gardens / Parks / Brownfield","High",10,"Built up areas / cont urban",99.62,10,10,0.3,21,0.02,1.8,1,"Green urban areas, sport and leisure facilities",15,50,50,10,10,40,"J5","J5.6","OS MM"
"K","Sea,,","Water, sea","Sea","High",10,"Sea/Estuary",0,0,0,0,0,0,9,NA,"none",50,50,50,50,50,50,"G2","G2","OS MM"
"Linear","Linear habitats","Other","Mixed / other / uncertain","Moderate",5,"none",124.1,10,10,0.3,10,0.01,4,NA,"Natural grasslands",5,15,15,1,30,30,"J5","JL","OS MM"
"Montane","Montane habitats","Montane","Montane","Moderate",5,"Montane",0,10,5,0.3,22,0.01,9,NA,"none",0,0,0,0,0,0,"J5","JM","Various "
"Unclassified","Unclassified","Unclassified","Unclassified","Low",1,"Suburban/ rural developed",0,0,0,0,0,0.03,0,NA,"Green urban areas, sport and leisure facilities",50,0,1,1,1,1,"J5","JU","Various "
"Unclassified, not greenspace","Unclassified","Unclassified","Unclassified","Low",1,"Suburban/ rural developed",0,0,0,0,0,0.03,0,NA,"Green urban areas, sport and leisure facilities",50,0,1,1,1,1,"J5","JU","Various "
"Unclassified, area in development","Unclassified","Unclassified","Unclassified","Low",1,"Suburban/ rural developed",0,0,0,0,0,0.03,0,NA,"Green urban areas, sport and leisure facilities",50,0,1,1,1,1,"J5","JU","Various "
"GW","Green wall installation","Cultivated / disturbed land","Green urban surfaces","",NA,"",20,10,10,0.1,NA,NA,3.3,NA,"",NA,NA,NA,NA,NA,NA,"","",""
"GR","Green roof for pollinators (planters)","Cultivated / disturbed land","Green urban surfaces","",NA,"",20,10,10,0.1,NA,NA,3.3,NA,"",NA,NA,NA,NA,NA,NA,"","",""
